DATE,recession,yield_curve,financial_conditions,leverage,sentiment
1991-08-31,0.0,0.5054313919258535,-0.44393549996725123,-0.7224444612661101,-0.5124763694348693
1991-09-30,0.0,0.3984498120377309,-0.4728961644917513,-0.7819709410835953,-0.4276329768715683
1991-10-31,0.0,0.6659037617580371,-0.5092578877280679,-0.838264130128094,-0.8263969219190834
1991-11-30,0.0,1.0225090280517795,-0.5742877435239907,-0.9223696073957831,-1.6069561335014533
1991-12-31,0.0,0.8798669215342825,-0.6327210035115549,-1.0027128913874972,-1.6833151868084235
1992-01-31,0.0,1.4326050842895826,-0.6040528709519489,-1.1035636214856541,-1.7427055616027345
1992-02-29,0.0,1.3167083727441165,-0.6039943645589702,-1.169806165161843,-1.6324091512704435
1992-03-31,0.0,1.4504353476042697,-0.621473149461383,-1.2172976182132114,-1.0215367248146756
1992-04-30,0.0,1.8337860088700422,-0.7435613650098686,-1.2475747916861788,-0.9197246537387141
1992-05-31,0.0,1.5841623224644228,-0.8972430327668994,-1.2683816165678983,-0.7500378686121121
1992-06-30,0.0,1.5395866641777052,-0.9749395226427297,-1.277981695961766,-0.6482257975361505
1992-07-31,0.0,1.521756400863018,-1.0134659824192616,-1.2903161015031592,-0.9706306892766955
1992-08-31,0.0,1.4504353476042697,-0.9613221596769167,-1.3041374216284263,-1.013052385558346
1992-09-30,0.0,1.6554833757231713,-0.8181862692543124,-1.3192859876574192,-1.0554740818399966
1992-10-31,0.0,1.7892103505833246,-0.6052815052045034,-1.3309418013081857,-1.2506138847355888
1992-11-30,0.0,1.6109077174364532,-0.6860349541134753,-1.3270299186445724,-0.2324931739759761
1992-12-31,0.0,1.593077454121766,-0.9297287074683713,-1.3101649143039937,0.2511141636348401
1993-01-31,0.0,1.4860958742336439,-1.0393404347141304,-1.2801571817287756,0.10688039627722809
1993-02-28,0.0,1.1205754762825584,-1.0451325676190304,-1.25930046038451,-0.122196763643685
1993-03-31,0.0,1.1740662662266197,-1.0795928330835363,-1.2448205069536344,-0.18158713843799476
